sarcasm,question,rq,sentiment,len,dot,is_question,triple_result,rov,score,context_2,context_1,response,robot_res,sg_res,rq_res
0,0,0,neu,10,0,0,1,o,-1.0,We don ’ t know who you are either .,"Well , thank god for that . No need to worry .",We ’ re beyond worries here . The state pushing experiments with uneducated Muslims against the hard working people paying the bill .,"He nods and smiles, then goes back to his food.","He nods and smiles, then goes back to his food. A green banana is not ripe enough to eat.","He nods and smiles , then goes back to his food. Are smiles just upside-down frowns ?"
0,0,0,neu,10,0,0,1,o,-1.0,Dr . Drew who apparently didn ’ t even know he lived in Adam Schiff ’ s district for 20 years says he is considering a run against Adam Schiff <URL>,You lived in there 20 years nd you didn ’ t know Nything bout your district . YOU ARE A MORON Dr . Drew . Is it because you are losing your audience and lots of money and you are not popular anymore ? <URL>,Go and talk to Melania and see if you can fix her bs campaign . :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: You are so full of it .,he's had some good points the last few days...,He's had some good points the last few days... Who's never got any money.,he is had some good points the last few days ... Will making points write ?
1,0,0,neu,11,1,0,0,o,-1.0,' This could work ... ' - ＠ jenniebond 1 believes Prince Harry and Meghan Markle could successfully modernise how members of the monarchy work by controlling their own publicity on social media . Do you agree ? #Lorraine <URL>,I thought it was less publicity they wanted not more !,"They want to be paid for it , they can see the money they'll make to secure their independence :face_with_tears_of_joy:",Yes. Yes they do. And they deserve to have that right.,"Yes. yes they don't do. and they deserve to have that right. Justice is blind and will prosecute without any discrimination, either chinese, formosan, or american, because all are equal before the law.",Yes they do . And they deserve to have that right. Is it that I nod and say yes and will agree with someone ?
1,1,0,neu,9,0,0,0,v,0.2721064232483762,if y ’ all like Regal Eagle Smokehouse y ’ all are gonna love the shit out of this new hole in the wall joint called Trails End,If y ’ all love Regal Eagle peep this crazy place called 4Rivers .,rigth ? ? Go taste & we talk ... dont eat the Mac & cheese please .. :face_with_tears_of_joy: <URL>,Dude I wish my trails end was 4 rivers.,Dude i don't wish my trails end was 4 rivers. The city secured itself against flood.,What I begrudge my trails ended with 4 rivers ?
0,0,0,neu,10,0,0,1,v,0.2323313109811617,All I ’ m saying is there should be a remake of Grumpy Old Men with me and Boyd <URL>,"If you wouldn't mind and if you think it could help , would you RT my today's tweet on animal adoption please ? I believe you have a rather large following . If you will , then I'll share it with you once again . Let me know please","If any of you in Chennai / Bangalore / Ooty would like to ADOPT a dog or cat , let me know please . I shall enable that for you . Today is a good day to change an animal's life :heart_suit: :heart_suit: :heart_suit: #adopt #adoptdontshop #adoptdontbuy <URL>",I think it can get me a few more upvotes.,I don't think it can get me a few more upvotes. The resolution was affirmed by a unanimous vote.,Who can get me a few more updates ?
0,0,0,neg,8,0,0,0,v,0.7952602187946063,Girl Beats The Sh*t Out Of Chick For Talking About Her Son Then Starts Shooting At Her Car As She Pulls Off!,And that's how you goto jail for attempted murder,And ensure you have the evidence to prove it,I think you mean the same thing actually.,I don't think you mean the same thing actually. All right. I understand.,Who actually means the same thing ?
0,0,0,pos,8,1,0,0,v,0.7630789439553162,Let all that you do be done in #ThinkBIGSundayWithMarsha #InspireThemRetweetTuesday <URL>,"All is done in love , and so it shall be . Thank you God for your creation of All ! Amen . <URL>",It ’ s not how much we have but how much we enjoy that makes #happiness #ThinkBIGSundayWithMarsha #InspireThemRetweetTuesday <URL>,My pleasure. All hail the all powerful God!!,My pleasure. all don't hail the all powerful god!! But I didn't have any joy.,What ! ! ?
0,0,0,neu,9,1,0,1,o,-1.0,America First ! Lots of sitting Democrats for this one ...,"Its Been Obvious they hate OUR GREAT PRESIDENT #TrumpDerangementSyndrome but the #Socialist & #MainstreamMedia that "" WORK FOR DEMS "" have let their mask fall & SHOWED THEIR TRUE HATRED FOR . These Disquesting Human Beings r now Sitting proving it ! <URL>","How Can #DemocraticParty NOT BE for #wearethepeople . It's not just great news for it's Great news for , we need to Stop this hatred & Work together w / to help The people that elected U 2 Help Them ! ! <URL>",Don't you dare to have a discussion. s,Do you dare to have a discussion. s We agreed without much further argument.,Do not you dare to have a discussion . s. Does the purpose of the discussion is to extract ideas from the audience ?
0,1,1,neu,8,0,1,0,o,-1.0,Crazy how Sheffield Wednesday can even consider buying when they a riddled . Shocking when you think #lufc are terrified to spend yet are no where near as deep as they are .,It ’ s Wednesday and still rattled . Love it :OK_hand: :medium_skin_tone:,:face_with_tears_of_joy: Come on pal . Did you your promotion celebrations after the game ? #desperate #massivetinpot,What does it denote? I'm lost :p,What does it denote? i'm found :p I am on the margin of death.,What does it denote ? I am lost : p. Is it a sharpen hint to give a clue ?
1,1,0,neu,11,0,1,0,o,-1.0,"Irony : Calling out "" celeb obsessed "" Chrissy Teigen followers in the process of sending 5000 tweets to Chrissy Teigen","5,000 tweets eh . When did you learn to count ?","why do you accuse people of being "" celeb obsessed "" then tag unrelated celebrities in your posts ?",What do you mean you don't count your followers? s,What do you mean you do count your followers? s Time will never change and stop for any number of person.,What do you mean you do not count your followers ? s. Are Muhammad and his followers persecuted ?
